Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
322,290,CC,3,1,9.64,18867.4119883759,2802.73848428667,288,1782.212276865,17085.1997115109,1020.52620742167
298,295,CC,3,2,1.29,6876.89293473917,5358.59704401583,288,1782.212276865,5094.68065787417,3576.38476715083
300,295,CC,3,2,3.2,7847.70219218417,5358.59704401583,288,1782.212276865,6065.48991531917,3576.38476715083
303,295,CC,3,2,8.51,9343.01213111751,5358.59704401583,288,1782.212276865,7560.79985425251,3576.38476715083
305,295,CC,3,2,8.84,10339.4587977758,5358.59704401583,288,1782.212276865,8557.24652091082,3576.38476715083
307,295,CC,3,2,11.82,11352.5835348158,5358.59704401583,288,1782.212276865,9570.3712579508,3576.38476715083
310,295,CC,3,2,11.76,12828.4880273992,5358.59704401583,288,1782.212276865,11046.2757505342,3576.38476715083
312,295,CC,3,2,14.51,13822.6696153242,5358.59704401583,288,1782.212276865,12040.4573384592,3576.38476715083
315,295,CC,3,2,18.14,15334.8716263725,5358.59704401583,288,1782.212276865,13552.6593495075,3576.38476715083
317,295,CC,3,2,20.16,16361.6030911408,5358.59704401583,288,1782.212276865,14579.3908142758,3576.38476715083
319,295,CC,3,2,19.95,17372.6732596442,5358.59704401583,288,1782.212276865,15590.4609827792,3576.38476715083
322,295,CC,3,2,17.37,18867.4119883759,5358.59704401583,288,1782.212276865,17085.1997115109,3576.38476715083
303,297,CC,3,3,3.32,9343.01213111751,6369.36911159583,288,1782.212276865,7560.79985425251,4587.15683473083
305,297,CC,3,3,8.3,10339.4587977758,6369.36911159583,288,1782.212276865,8557.24652091082,4587.15683473083
307,297,CC,3,3,12.09,11352.5835348158,6369.36911159583,288,1782.212276865,9570.3712579508,4587.15683473083
310,297,CC,3,3,22.49,12828.4880273992,6369.36911159583,288,1782.212276865,11046.2757505342,4587.15683473083
312,297,CC,3,3,34.52,13822.6696153242,6369.36911159583,288,1782.212276865,12040.4573384592,4587.15683473083
315,297,CC,3,3,35.46,15334.8716263725,6369.36911159583,288,1782.212276865,13552.6593495075,4587.15683473083
317,297,CC,3,3,41.45,16361.6030911408,6369.36911159583,288,1782.212276865,14579.3908142758,4587.15683473083
319,297,CC,3,3,43.25,17372.6732596442,6369.36911159583,288,1782.212276865,15590.4609827792,4587.15683473083
